weapon,branch,module_combo,target_profile,window_sec,repeats,seed,avg_dps,total_damage_avg,run_ms,compatible_pair_total,compatible_pair_tested,pair_coverage_ratio
Cannon,base,base,single,10.0,3,424242,28.800,288.00,70,210,24,0.114
Cannon,base,base,group5,10.0,3,424242,28.800,288.00,82,210,24,0.114
Cannon,base,wmod_battle_focus_buff,single,10.0,3,424242,28.800,288.00,83,210,24,0.114
Cannon,base,wmod_battle_focus_buff,group5,10.0,3,424242,28.800,288.00,82,210,24,0.114
Cannon,base,wmod_bullet_size_stat,single,10.0,3,424242,28.800,288.00,82,210,24,0.114
Cannon,base,wmod_bullet_size_stat,group5,10.0,3,424242,28.800,288.00,81,210,24,0.114
Cannon,base,wmod_corrosive_touch_energy,single,10.0,3,424242,31.600,316.00,83,210,24,0.114
Cannon,base,wmod_corrosive_touch_energy,group5,10.0,3,424242,31.600,316.00,82,210,24,0.114
Cannon,base,wmod_damage_up_stat,single,10.0,3,424242,43.200,432.00,82,210,24,0.114
